tweet,selected_by_day,date,link,events,selected,journalist,keywords
Fin de l'interrogatoire principal. Fradette maintenant contre-interrogé par l'avocat de #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523150697316233217,procedure,,@MessierSRC,Fin l'interrogatoire principal contre-interrogé
"Réservation de billet d'avion de #Magnotta a été faite le 25 mai 2012 à 16h37, via Expedia, rappelle Fradette.",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523147913145614337,Paris,,@MessierSRC,#Magnotta a été faite 25 mai Expedia rappelle Fradette
"#Magnotta a fait sa réservation le 25 mai 2012, donc jour du meurtre. Prévoyait revenir 1er juin, mais ne s'est pas présenté, dit Fradette",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523147460982898688,arrestation,,@MessierSRC,#Magnotta a fait réservation 25 mai meurtre Prévoyait revenir 1er juin s ' est présenté dit Fradette
"Selon Fradette, #Magnotta a voyagé avec son vrai nom. Son nom était sur le billet et dans son passeport.",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523146678095069185,depart,,@MessierSRC,#Magnotta a voyagé vrai nom nom était billet passeport
On continue. Couronne dépose document concernant vol 610 d'Air Transat que #Magnotta a pris le 26 mai 2012,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523144703001509888,preuve,,@MessierSRC,continue Couronne dépose document vol 610 d'Air Transat #Magnotta a pris 26 mai
Jury revient dans la salle. Juge Cournoyer leur dit que la Couronne n'avait pas prévenu la défense de l'identité du témoin. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523144380140777472,procedure,,@MessierSRC,revient salle Juge Cournoyer dit Couronne n'avait prévenu défense l'identité témoin #Magnotta
Objection de l'avocat de #Magnotta. Jury prié de se retirer. Débat hors jury.,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523142268157706240,procedure,,@MessierSRC,#Magnotta prié retirer Débat jury
Couronne appelle maintenant à la barre un technicien à la sécurité chez Air Transat: Steve Fradette. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523142100679131139,procedure,,@MessierSRC,Couronne appelle barre technicien sécurité #Magnotta
"Mon changement de nom, en 96, a été rapporté dans plusieurs médias, note Valentini. Son témoignage se termine sur ce #Magnotta",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523141823036792832,colis,,@MessierSRC,changement nom a été rapporté médias note Valentini témoignage termine #Magnotta
"Personne ne sait que vous êtes la soeur de Karla Homolka? «Tout le monde le sait» dit Valentini, née Lori (et non Laurie) Homolka #Magnotta",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523141463073640448,colis,,@MessierSRC,sait êtes soeur Karla Homolka monde sait dit Valentini née Lori Laurie Homolka #Magnotta
Valentini dit qu'aucun journaliste ne l'a appelé en lien avec cette affaire. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523141071807979522,colis,,@MessierSRC,Valentini dit journaliste a appelé lien affaire #Magnotta
"Valentini ne connaît personne à l'école False Creek de Vancouver, où #Magnotta a envoyé colis avec son adresse.",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523140911711404032,colis,,@MessierSRC,Valentini connaît l'école #Magnotta a envoyé colis adresse
Valentini a été «étonnée» d'apprendre qu'elle avait été mêlée malgré elle à cette histoire. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523140685730705408,colis,,@MessierSRC,Valentini a été étonnée d'apprendre qu'elle avait été mêlée histoire #Magnotta
Valentini avait été contacté par policier au sujet d'une affaire médiatisée. A appris les détails après recherche sur Internet. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523140463248027649,colis,,@MessierSRC,Valentini avait été contacté policier sujet d'une affaire médiatisée appris détails recherche Internet #Magnotta
Valentini dit qu'elle ne connaît pas #Magnotta.,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523139918277931008,colis,,@MessierSRC,Valentini dit qu'elle connaît #Magnotta
Fin de l'interrogatoire principal de Valentini. Elle est contre-interrogée par l'avocat de #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523139713193218049,procedure,,@MessierSRC,Fin l'interrogatoire principal Valentini est contre-interrogée
"L'adresse de Valentini, la soeur de Karla Homolka, est adresse de l'expéditeur sur un colis envoyé à Vancouver par #Magnotta",,10/17/2014,https://twitter.com/#!/MessierSRC/status/523139213857144832,colis,,@MessierSRC,L'adresse Valentini soeur Karla Homolka est adresse l'expéditeur colis
Nom de naissance de Mme Valentini est Laurie Homolka. #Magnotta,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523138764542324736,Profil témoin,,@MessierSRC,Mme Valentini est Laurie Homolka #Magnotta
Procès #Magnotta reprend. Nouveau témoin de la Couronne: Logan Valentini. Elle témoigne par vidéoconférence.,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523138638037942272,procedure,,@MessierSRC,Procès #Magnotta reprend Nouveau témoin Couronne Logan Valentini témoigne vidéoconférence
Procès #Magnotta a repris avec nouveau débat hors jury.,,10/17/2014,https://twitter.com/#!/MessierSRC/status/523136776320602112,procedure,,@MessierSRC,Procès #Magnotta a repris nouveau débat jury
